Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,   1.16,   4.03,   2.30,  -2.19,   2.21,   1.31,   0.69,   2.45,   4.85,   0.11
192608,   5.00,   0.28,   2.11,   4.41,   2.61,   1.08,  -0.03,   6.11,  -2.00,   4.49
192609,   0.03,  -3.34,   0.53,  -3.51,   0.86,   0.22,  -0.71,   0.80,   2.06,  -0.61
192610,  -2.55,  -9.46,  -5.11,   2.67,  -5.72,  -0.99,  -3.28,   0.13,  -2.98,  -2.61
192611,   6.00,  -0.38,   1.69,   1.59,   1.32,   1.48,   1.35,   7.20,   5.71,   0.92
192612,   0.38,   4.80,   3.39,   4.92,   1.46,   1.62,   2.81,   0.42,   1.72,   1.36
192701,  -1.47,  -2.27,   0.78,   3.68,   0.44,   0.13,  -2.29,   6.13,  -0.44,   5.14
192702,   3.42,   6.06,   6.38,   4.24,   8.33,   6.98,   5.10,   2.47,   4.88,   7.66
192703,  -3.24,  -2.36,  -1.24,  -9.15,  -1.58,   1.35,   0.25,  -0.20,   2.19,  -0.12
192704,   1.07,  -1.17,   1.57,  -3.93,   2.04,   0.58,   3.23,   5.80,   1.69,   1.25
192705,   7.18,   4.15,   6.24,   7.43,   3.14,   1.60,   2.11,   4.79,   9.29,   8.50
192706,  -2.09,  -3.97,  -3.57,  -0.27,   1.57,  -2.63,  -1.84,   3.64,  -3.30,  -1.32
192707,   6.49,   6.21,   7.82,   2.20,   7.44,   4.36,   5.96,   8.59,   4.18,   4.47
192708,   1.19,   1.74,   0.73,  -1.96,  -1.61,   1.31,   2.97,   0.15,   6.17,  -1.55
192709,   2.91,  -0.77,   1.42,   3.97,   4.28,   5.20,   3.75,   6.00,   9.42,   3.88
192710,  -1.71,  -3.69,  -4.63,  -4.50,  -3.83,  -2.33,  -3.70,   5.15,  -4.68,  -4.53
192711,   7.42,  11.38,  14.47,   9.83,  14.85,   3.66,   8.70,   5.05,   5.96,   7.58
192712,   3.53,   6.59,   4.86,   0.60,   1.00,   3.42,   1.83,  -1.42,   1.80,   2.10
192801,   4.24,  -1.94,   5.22,  -0.48,   1.80,  -1.85,   3.89,   1.45,   8.76,   3.08
192802,  -2.37,  -2.45,  -2.69,  -2.02,   0.08,  -0.38,  -1.46,  -1.89,  -1.63,  -3.10
192803,   5.43,  14.90,   6.48,   6.21,  13.47,   3.20,   6.16,   8.96,   4.95,   6.08
192804,   3.51,   5.23,   8.15,  26.03,   4.84,   2.41,   5.23,   3.36,  10.94,   7.71
192805,   2.95,   8.92,   3.62,  -3.41,  11.82,   6.53,   4.62,   7.21,   1.70,   4.51
192806,  -7.43, -11.47,  -7.68,  -6.13,  -4.77,  -6.27,  -5.02,  -1.46,  -3.82,  -5.67
192807,   0.16,   0.19,   0.17,   1.77,   0.17,  -0.08,   3.24,  -0.81,  -1.09,  -0.96
192808,   4.78,  10.53,   7.57,   0.98,   5.49,   2.33,   7.68,   9.38,   5.72,   4.33
192809,   2.97,   7.73,   7.51,   7.55,   3.23,   0.50,   3.28,  -0.06,   4.94,   2.91
192810,   3.12,   0.59,   1.20,   2.31,   1.81,   7.54,   4.45,   0.25,  -2.22,   0.01
192811,   8.55,  11.80,  12.96,  14.61,  14.16,   8.89,  10.37,   3.51,  18.29,  10.54
192812,  -1.01,   1.94,   1.99,  -7.11,   3.64,  -2.12,  -0.15,  -0.48,   2.32,  -1.27
192901,   2.27,   3.24,   6.02,  -6.29,   7.36,   7.86,  -2.26,   4.61,  15.63,   5.36
192902,  -1.44,  -0.95,   2.47,   0.98,   5.55,  -1.51,  -0.60,  -0.07,  -1.52,   1.27
192903,  -5.67,  -7.01,  -2.94,   5.21,   5.41,  10.14,  -6.05,  -0.50,  -2.13,  -4.20
192904,   2.43,  -1.92,   1.06,   1.29,   4.69,  -2.60,   0.82,   2.42,   4.06,   1.68
